guac_vm_manager.py:19: error: Library stubs not installed for "requests"  [import-untyped]
guac_vm_manager.py:19: note: Hint: "python3 -m pip install types-requests"
guac_vm_manager.py:19: note: (or run "mypy --install-types" to install all missing stub packages)
guac_vm_manager.py:19: note: See https://mypy.readthedocs.io/en/stable/running_mypy.html#missing-imports
guac_vm_manager.py:1377: error: Incompatible types in assignment (expression has type "TextIOWrapper[_WrappedBuffer]", variable has type "Fernet")  [assignment]
guac_vm_manager.py:1378: error: "Fernet" has no attribute "write"  [attr-defined]
guac_vm_manager.py:2262: error: Returning Any from function declared to return "Optional[str]"  [no-any-return]
guac_vm_manager.py:2274: error: Returning Any from function declared to return "Optional[str]"  [no-any-return]
guac_vm_manager.py:2463: error: Returning Any from function declared to return "Optional[str]"  [no-any-return]
guac_vm_manager.py:2574: error: Returning Any from function declared to return "Optional[str]"  [no-any-return]
guac_vm_manager.py:2669: error: Returning Any from function declared to return "Optional[str]"  [no-any-return]
guac_vm_manager.py:2732: error: Returning Any from function declared to return "bool"  [no-any-return]
guac_vm_manager.py:2745: error: Returning Any from function declared to return "list[dict[str, Any]]"  [no-any-return]
guac_vm_manager.py:2852: error: Returning Any from function declared to return "dict[str, Any]"  [no-any-return]
guac_vm_manager.py:2947: error: Returning Any from function declared to return "str"  [no-any-return]
guac_vm_manager.py:3037: error: Incompatible types in assignment (expression has type "Optional[str]", variable has type "str")  [assignment]
guac_vm_manager.py:3562: error: Returning Any from function declared to return "dict[str, Any]"  [no-any-return]
guac_vm_manager.py:4011: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:4124: error: Incompatible types in assignment (expression has type "int", variable has type "dict[str, Any]")  [assignment]
guac_vm_manager.py:4148: error: Unsupported operand types for + ("dict[str, Any]" and "int")  [operator]
guac_vm_manager.py:4148: error: Incompatible types in assignment (expression has type "int", variable has type "dict[str, Any]")  [assignment]
guac_vm_manager.py:4294: error: Name "vms" already defined on line 4044  [no-redef]
guac_vm_manager.py:4395: error: Need type annotation for "parsed_credentials" (hint: "parsed_credentials: list[<type>] = ...")  [var-annotated]
guac_vm_manager.py:4396: error: Need type annotation for "vm_macs" (hint: "vm_macs: list[<type>] = ...")  [var-annotated]
guac_vm_manager.py:4397: error: Need type annotation for "network_details" (hint: "network_details: list[<type>] = ...")  [var-annotated]
guac_vm_manager.py:4402: error: Name "parsed_credentials" already defined on line 4395  [no-redef]
guac_vm_manager.py:4538: error: Incompatible types in assignment (expression has type "int", variable has type "Optional[str]")  [assignment]
guac_vm_manager.py:4542: error: Argument 1 to "int" has incompatible type "Optional[str]"; expected "Union[str, Buffer, SupportsInt, SupportsIndex, SupportsTrunc]"  [arg-type]
guac_vm_manager.py:4584: error: Incompatible types in assignment (expression has type "str", variable has type "int")  [assignment]
guac_vm_manager.py:4587: error: "int" has no attribute "isdigit"  [attr-defined]
guac_vm_manager.py:4677: error: Name "vm_macs" already defined on line 4396  [no-redef]
guac_vm_manager.py:4772: error: Name "ip_options" already defined on line 4767  [no-redef]
guac_vm_manager.py:4773: error: Name "mac_candidates" already defined on line 4768  [no-redef]
guac_vm_manager.py:5045: error: Incompatible types in assignment (expression has type "None", variable has type "str")  [assignment]
guac_vm_manager.py:5388: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:5426: error: Incompatible types in assignment (expression has type "Future[tuple[str, Optional[str]]]", variable has type "Future[Optional[tuple[str, str]]]")  [assignment]
guac_vm_manager.py:5427: error: "None" object is not iterable  [misc]
guac_vm_manager.py:5453: error: Incompatible types in assignment (expression has type "Union[Any, str]", variable has type "int")  [assignment]
guac_vm_manager.py:5454: error: Incompatible types in assignment (expression has type "Optional[Any]", variable has type "str")  [assignment]
guac_vm_manager.py:5455: error: Incompatible types in assignment (expression has type "Optional[Any]", variable has type "str")  [assignment]
guac_vm_manager.py:5540: error: Name "update_status" already defined on line 5384  [no-redef]
guac_vm_manager.py:5544: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:5580: error: Incompatible types in assignment (expression has type "Future[tuple[str, Optional[str]]]", variable has type "Future[Optional[tuple[str, str]]]")  [assignment]
guac_vm_manager.py:5581: error: "None" object is not iterable  [misc]
guac_vm_manager.py:5666: error: Incompatible types in assignment (expression has type "Optional[str]", variable has type "str")  [assignment]
guac_vm_manager.py:5696: error: Incompatible types in assignment (expression has type "Future[tuple[str, Optional[str], Optional[str]]]", variable has type "Future[Optional[tuple[str, str]]]")  [assignment]
guac_vm_manager.py:5697: error: Need more than 2 values to unpack (3 expected)  [misc]
guac_vm_manager.py:5697: error: "None" object is not iterable  [misc]
guac_vm_manager.py:5702: error: Argument 1 to "append" of "list" has incompatible type "tuple[Optional[Any], str]"; expected "tuple[str, Optional[str]]"  [arg-type]
guac_vm_manager.py:5748: error: Incompatible types in assignment (expression has type "Optional[str]", variable has type "str")  [assignment]
guac_vm_manager.py:5860: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:5882: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:6711: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:6737: note: By default the bodies of untyped functions are not checked, consider using --check-untyped-defs  [annotation-unchecked]
guac_vm_manager.py:7061: error: Returning Any from function declared to return "str"  [no-any-return]
guac_vm_manager.py:7085: error: Returning Any from function declared to return "str"  [no-any-return]
guac_vm_manager.py:7087: error: Returning Any from function declared to return "str"  [no-any-return]
guac_vm_manager.py:7385: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:7407: note: By default the bodies of untyped functions are not checked, consider using --check-untyped-defs  [annotation-unchecked]
guac_vm_manager.py:8420: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:8612: error: Function is missing a return type annotation  [no-untyped-def]
guac_vm_manager.py:8735: error: Function is missing a return type annotation  [no-untyped-def]
Found 57 errors in 1 file (checked 2 source files)
